"filename"	"classification"	"typology"
"vicav_profile_shirqat.xml"	""	"East (Mashreq) › Mesopotamia › Iraq (gilit)"
"vicav_profile_TUN-KNH1.xml"	""	""
"vicav_profile_SDN-DRF.xml"	""	""
"vicav_profile_DZA-DJL.xml"	""	""
"vicav_profile_al_karak.xml"	""	"East (Mashreq) > Levant > Jordan > South"
"vicav_profile_sousse.xml"	""	""
"vicav_profile_JOR-SMR.xml"	""	""
"vicav_profile_SAU-HRB.xml"	""	""
"vicav_profile_NEG-AZM.xml"	""	""
"vicav_profile_ISR-SAM.xml"	""	""
"vicav_profile_ghamid.xml"	""	"East (Mashreq) > Arabia > Hedjaz"
"vicav_profile_JOR-BXD.xml"	""	""
"vicav_profile_mzab.xml"	""	"West (Maghreb) › Algeria › Sahara dialects"
"vicav_profile_JOR-SFT.xml"	""	""
"vicav_profile_IRN-KHU.xml"	""	""
"vicav_profile_haskoey.xml"	""	""
"vicav_profile_EGY-BDR.xml"	""	""
"vicav_profile_taza.xml"	""	"West (Maghreb) › Morocco › Northern type"
"vicav_profile_JOR-WAL.xml"	""	""
"vicav_profile_LBY-MSL.xml"	""	""
"vicav_profile_ISR-GRI.xml"	""	""
"vicav_profile_ISR-SAW.xml"	""	""
"vicav_profile_khartoum.xml"	""	"East (Mashreq) › Sudan › Eastern group › Central Sudan"
"vicav_profile_LBN-CHA.xml"	""	""
"vicav_profile_OMN-MSQ.xml"	""	""
"vicav_profile_DZA-EAL.xml"	""	""
"vicav_profile_LBN-KHA.xml"	""	""
"vicav_profile_YEM-NIH.xml"	""	""
"vicav_profile_SAU-AMR.xml"	""	""
"vicav_profile_DJI-OBK.xml"	""	""
"vicav_profile_SYR-HOP.xml"	""	""
"vicav_profile_JOR-MDB.xml"	""	""
"vicav_profile_abu_dhabi.xml"	""	""
"vicav_profile_EGY-GBL.xml"	""	""
"vicav_profile_ISR-LHE.xml"	""	""
"vicav_profile_ISR-GAW.xml"	""	""
"vicav_profile_IRQ-MOS.xml"	""	""
"vicav_profile_basra.xml"	""	"East (Mashreq) › Mesopotamia › Iraq (gilit) › South"
"vicav_profile_tihama.xml"	""	""
"vicav_profile_hama.xml"	""	"East (Mashreq) › Levant › Syria › Centre"
"vicav_profile_fayyum.xml"	""	"East (Mashreq)>Egypt-Sudan>Nile Valley>Middle Egypt "
"vicav_profile_EGY-ALI.xml"	""	""
"vicav_profile_ISR-HAG.xml"	""	""
"vicav_profile_chefchaouen.xml"	""	""
"vicav_profile_TUN-MZG.xml"	""	""
"vicav_profile_tripoli_leb.xml"	""	"East (Mashreq) › Levant › Lebanon › Northern group"
"vicav_profile_gaza.xml"	""	"East (Mashreq) > Levant > Palestine > South Palestine"
"vicav_profile_saoura.xml"	""	"West (Maghreb) › Algeria › Saharan dialects"
"vicav_profile_aden.xml"	""	""
"vicav_profile_MAR-JBL.xml"	""	""
"vicav_profile_OMN-JNB.xml"	""	""
"vicav_profile_LBY-FZN.xml"	""	""
"vicav_profile_SYR-RAQ.xml"	""	""
"vicav_profile_SYR-DZR.xml"	""	""
"vicav_profile_SAU-HYL.xml"	""	""
"vicav_profile_farafra.xml"	""	""
"vicav_profile_SDN-KDF.xml"	""	""
"vicav_profile_arwad.xml"	""	"East (Mashreq) › Levant › Syria › Coast"
"vicav_profile_TUN-MHD.xml"	""	""
"vicav_profile_tillo.xml"	""	""
"vicav_profile_SYR-PAL.xml"	""	""
"vicav_profile_oran.xml"	""	"West (Maghreb) › Algeria › Western dialects"
"vicav_profile_SDN-BGR.xml"	""	""
"vicav_profile_TCD-NDJ.xml"	""	""
"vicav_profile_LBN-SHI.xml"	""	""
"vicav_profile_zufar.xml"	""	""
"vicav_profile_IRQ-SQT.xml"	""	""
"vicav_profile_damascus.xml"	""	""
"vicav_profile_SYR-JAG.xml"	""	""
"vicav_profile_SAU-RYD.xml"	""	""
"vicav_profile_YEM-ABD.xml"	""	""
"vicav_profile_SAU-GLF.xml"	""	""
"vicav_profile_IRQ-SBD.xml"	""	""
"vicav_profile_SDN-RYD.xml"	""	""
"vicav_profile_dakhla.xml"	""	"East (Mashreq) > Egypt-Sudan > Egypt > Oasis"
"vicav_profile_EGY-HMD.xml"	""	""
"vicav_profile_SAU-MUR.xml"	""	""
"vicav_profile_zaer.xml"	""	"West (Maghreb) > Morocco > Central Group"
"vicav_profile_NEG-ZLM.xml"	""	""
"vicav_profile_shukriyya.xml"	""	""
"vicav_profile_IRQ-HIL.xml"	""	""
"vicav_profile_LBY-TPL.xml"	""	""
"vicav_profile_MAR-OJD.xml"	""	""
"vicav_profile_EGY-TYH.xml"	""	""
"vicav_profile_OMN-HRT.xml"	""	""
"vicav_profile_TUN-SUS.xml"	""	""
"vicav_profile_YEM-HAD.xml"	""	""
"vicav_profile_ISR-N3M.xml"	""	""
"vicav_profile_JOR-ANZ.xml"	""	""
"vicav_profile_birzeit.xml"	""	"East (Mashreq)>Levant>Palestine>Central Palestine"
"vicav_profile_farfara.xml"	""	""
"vicav_profile_YEM-HUS.xml"	""	""
"vicav_profile_SYR-ALC.xml"	""	""
"vicav_profile_halab.xml"	""	"East (Mashreq)>Levant>Syria>North"
"vicav_profile_EGY-LGT.xml"	""	""
"vicav_profile_LBY-BGZ.xml"	""	""
"vicav_profile_YEM-DAB.xml"	""	""
"vicav_profile_OMN-DUR.xml"	""	""
"vicav_profile_EGY-SWR.xml"	""	""
"vicav_profile_EGY-MZN.xml"	""	""
"vicav_profile_mosul.xml"	""	"East (Mashreq) › Mesopotamia › Iraq (qəltu) › Tigris group"
"vicav_profile_saada.xml"	""	"East (Mashreq) › Arabia › Yemen › Sa’da region"
"vicav_profile_kormakitis.xml"	""	""
"vicav_profile_al_hilla.xml"	""	""
"vicav_profile_JOR-SHN.xml"	""	""
"vicav_profile_EGY-BLL.xml"	""	""
"vicav_profile_SDN-AHM.xml"	""	""
"_vicav_profile_salt.xml"	""	""
"vicav_profile_TUN-GBS.xml"	""	""
"vicav_profile_beqaa.xml"	""	""
"vicav_profile_LBN-BEI2.xml"	""	""
"vicav_profile_SAU-FYF.xml"	""	""
"vicav_profile_soukhne.xml"	""	""
"vicav_profile_JOR-NEM.xml"	""	""
"vicav_profile_SAU-QWZ.xml"	""	""
"vicav_profile_TCD-ABK.xml"	""	""
"vicav_profile_SAU-BSH.xml"	""	""
"vicav_profile_SYR-SWE.xml"	""	""
"vicav_profile_MAR-SMS.xml"	""	""
"vicav_profile_jijel.xml"	""	"West (Maghreb) › Algeria"
"vicav_profile_douz.xml"	""	""
"vicav_profile_shammar.xml"	""	"East (Mashreq) > Arabia > Northern group > Northern Najd"
"vicav_profile_LBN-BEI.xml"	""	""
"vicav_profile_DZA-ORN.xml"	""	""
"vicav_profile_DZA-CON.xml"	""	""
